2.4569,0.98341-0.06004i,0.97845-0.067205i,0.96676-0.080093i,0.88044-0.11457i,0.66881-0.096879i,0.4362-0.048244i
2.6099,0.9799-0.05274i,0.97393-0.059003i,0.9599-0.070248i,0.85861-0.1001i,0.62104-0.084487i,0.36989-0.042626i
2.763,0.97604-0.042582i,0.96895-0.047593i,0.95237-0.056557i,0.83486-0.079928i,0.57035-0.066973i,0.30148-0.034361i
2.916,0.97185-0.029534i,0.96355-0.032937i,0.94422-0.038968i,0.80938-0.053952i,0.51712-0.044122i,0.23139-0.02325i
3.0691,0.96738-0.013637i,0.9578-0.015078i,0.93553-0.017532i,0.78242-0.02219i,0.46177-0.015827i,0.16009-0.0091314i
3.2221,0.96268+0.0049946i,0.95175+0.0058538i,0.92641+0.007603i,0.75426+0.01519i,0.40481+0.017909i,0.088099+0.0081142i
3.3752,0.95781+0.026168i,0.9455+0.029646i,0.91698+0.036186i,0.72527+0.057879i,0.34684+0.056967i,0.015945+0.02856i
3.5283,0.95286+0.049621i,0.93912+0.056006i,0.90739+0.067871i,0.69585+0.10543i,0.28851+0.10111i,-0.055805+0.052228i
3.6813,0.9479+0.075022i,0.93274+0.084562i,0.89777+0.10222i,0.66644+0.15725i,0.23053+0.14999i,-0.12656+0.079089i
3.8344,0.94302+0.10198i,0.92646+0.11488i,0.88831+0.13871i,0.63752+0.21263i,0.17365+0.20314i,-0.19573+0.10906i
3.9874,0.9383+0.13004i,0.9204+0.14645i,0.87918+0.17675i,0.60957+0.27077i,0.11865+0.26i,-0.26268+0.142i
4.1405,0.93385+0.15872i,0.91468+0.17873i,0.87055+0.21568i,0.58312+0.33074i,0.066328+0.31989i,-0.32682+0.17771i
4.2935,0.92975+0.1875i,0.90941+0.21113i,0.86261+0.2548i,0.55867+0.39155i,0.017481+0.38207i,-0.38754+0.21593i
4.4466,0.92611+0.21582i,0.90471+0.24304i,0.85552+0.29339i,0.5367+0.45218i,-0.027116+0.4457i,-0.44425+0.25637i
4.5996,0.92299+0.24314i,0.9007+0.27385i,0.84945+0.33071i,0.51769+0.51153i,-0.066724+0.50991i,-0.49638+0.29866i
4.7527,0.92048+0.26891i,0.89747+0.30293i,0.84456+0.36601i,0.50207+0.56854i,-0.10066+0.57376i,-0.54342+0.3424i
4.9057,0.91866+0.29259i,0.89511+0.32968i,0.84096+0.39857i,0.49021+0.62213i,-0.12831+0.6363i,-0.58487+0.38713i
5.0588,0.91756+0.31369i,0.89369+0.35356i,0.83877+0.42773i,0.48242+0.67129i,-0.14916+0.69657i,-0.62032+0.43237i
5.2118,0.91725+0.33174i,0.89326+0.37403i,0.83808+0.45286i,0.47895+0.71504i,-0.16278+0.75361i,-0.64938+0.47758i
5.3649,0.91774+0.34635i,0.89387+0.39065i,0.83892+0.47341i,0.47996+0.75253i,-0.16888+0.80651i,-0.67177+0.52222i
5.5179,0.91903+0.35718i,0.89552+0.40304i,0.84132+0.48892i,0.4855+0.78299i,-0.16728+0.85437i,-0.68727+0.56571i
5.671,0.92114+0.36397i,0.8982+0.41091i,0.84527+0.49904i,0.49557+0.80578i,-0.15796+0.8964i,-0.69573+0.60747i
5.824,0.92402+0.36655i,0.90188+0.41404i,0.85072+0.5035i,0.51003+0.82043i,-0.14102+0.93186i,-0.69712+0.64691i
5.9771,0.92764+0.36483i,0.9065+0.41235i,0.85757+0.50217i,0.52865+0.8266i,-0.11674+0.96013i,-0.69148+0.68345i
6.1301,0.93192+0.3588i,0.91198+0.40583i,0.86572+0.49505i,0.55113+0.82413i,-0.085514+0.98069i,-0.67894+0.71651i
6.2832,0.9368+0.34858i,0.91822+0.39459i,0.87501+0.48224i,0.57704+0.81305i,-0.047909+0.99314i,-0.65976+0.74556i
